product_id_1,product_id_2,similarity
P439055,P421277,0.4818
P439055,P432045,0.4239
P439055,P500716,0.4476
P439055,P392945,0.4041
P439055,P480274,0.4543
P439055,P453818,0.4745
P439055,P456990,0.4761
P439055,P504443,0.4256
P421277,P432045,0.644
P421277,P500716,0.6085
P421277,P392945,0.4123
P421277,P480274,0.4598
P421277,P453818,0.4526
P421277,P456990,0.9828
P421277,P504443,0.6416
P421277,P442734,0.4071
P467602,P500716,0.7179
P467602,P423145,0.4212
P432045,P500716,0.4487
P432045,P480274,0.4235
P432045,P453818,0.4151
P432045,P456990,0.6315
P432045,P504443,0.9687
P432045,P442734,0.4033
P311143,P457521,0.4277
P384537,P500716,0.6667
P384537,P388262,0.428
P296413,P296415,0.4198
P296413,P465741,0.4096
P296413,P447592,0.4128
P296413,P398761,0.4212
P296413,P474943,0.4198
P296413,P481334,0.4372
P296413,P503216,0.4059
P296413,P503933,0.4224
P296413,P448719,0.4353
P296413,P475192,0.4452
P296413,P455676,0.425
P296413,P458216,0.4184
P296413,P471111,0.4113
P500716,P392945,0.4302
P500716,P480274,0.4028
P500716,P453818,0.4522
P500716,P388262,0.4807
P500716,P456990,0.6013
P500716,P504443,0.462
P500716,P503998,0.4429
P296415,P388262,0.4121
P296415,P404168,0.4887
P296415,P410809,0.4234
P296415,P503998,0.4388
P296415,P455332,0.4443
P296415,P408273,0.4459
P296415,P430903,0.4364
P296415,P482058,0.4179
P392945,P388262,0.5034
P392945,P456990,0.4019
P392945,P438648,0.405
P392945,P469520,0.4141
P392945,P469508,0.488
P392945,P468850,0.4196
P474809,P442859,0.4251
P474809,P457694,0.5638
P474809,P503262,0.4019
P474809,P462336,0.4792
P474809,P433443,0.43
P474809,P471003,0.537
P474809,P479304,0.5803
P474809,P504987,0.5388
P474809,P445832,0.5264
P474809,P462344,0.4835
P474809,P449177,0.4159
P474809,P411539,0.4103
P474809,P448185,0.4118
P474809,P457008,0.5008
P474809,P457009,0.5008
P474809,P417238,0.4455
P474809,P434548,0.4486
P474809,P458209,0.4492
P474809,P479318,0.5928
P474809,P431187,0.4743
P474809,P480165,0.4615
P474809,P503997,0.6151
P474809,P479327,0.5206
P474809,P470529,0.4448
P474809,P503634,0.4843
P474809,P504171,0.5475
P474809,P504849,0.4463
P474809,P400207,0.5907
P474809,P442564,0.5118
P474809,P437981,0.5744
P474809,P481096,0.445
P474809,P474325,0.6201
P474809,P503923,0.4576
P474809,P500988,0.5187
P474809,P452004,0.4349
P474809,P505316,0.5888
P474809,P481334,0.4665
P474809,P480174,0.6158
P474809,P476428,0.5253
P474809,P503216,0.593
P474809,P476515,0.5161
P474809,P472469,0.4511
P474809,P502322,0.4452
P474809,P477413,0.418
P474809,P444970,0.4996
P474809,P474075,0.5748
P474809,P501003,0.4806
P474809,P456193,0.4319
P474809,P470247,0.4653
P474809,P504698,0.5615
P474809,P480192,0.4686
P474809,P410400,0.4675
P474809,P503726,0.4538
P474809,P460627,0.4159
P474809,P461535,0.4691
P474809,P483495,0.4258
P474809,P456434,0.6082
P474809,P457279,0.6
P474809,P475194,0.5013
P474809,P481748,0.442
P474809,P482754,0.4323
P474809,P475197,0.5423
P474809,P475192,0.4835
P474809,P475196,0.534
P474809,P477830,0.4842
P480274,P456990,0.4544
P480274,P504443,0.4252
P480274,P457520,0.4098
P480274,P504424,0.4049
P480274,P476415,0.4236
P480274,P502192,0.4079
P453818,P456990,0.4473
P453818,P504443,0.4168
P442859,P479304,0.4147
P442859,P445832,0.4358
P442859,P431187,0.4632
P442859,P503997,0.4077
P442859,P400207,0.4039
P442859,P474325,0.4373
P442859,P505316,0.5109
P442859,P480174,0.4377
P442859,P476428,0.4171
P442859,P503216,0.5062
P442859,P476515,0.4134
P442859,P456434,0.4322
P442859,P457279,0.4265
P442859,P475194,0.432
P442859,P475197,0.4156
P442859,P475196,0.4229
P388262,P404169,0.5388
P388262,P404168,0.4114
P457694,P471003,0.4409
P457694,P479304,0.4521
P457694,P504987,0.4691
P457694,P445832,0.4324
P457694,P462344,0.4297
P457694,P457008,0.426
P457694,P457009,0.426
P457694,P434548,0.4546
P457694,P479318,0.4566
P457694,P480165,0.4192
P457694,P503997,0.4947
P457694,P504780,0.4023
P457694,P479327,0.4096
P457694,P504171,0.4358
P457694,P400207,0.4952
P457694,P442564,0.4581
P457694,P437981,0.5202
P457694,P474325,0.5214
P457694,P503923,0.4504
P457694,P500988,0.4039
P457694,P505316,0.4739
P457694,P480174,0.5175
P457694,P476428,0.431
P457694,P503216,0.4872
P457694,P476515,0.4236
P457694,P444970,0.4837
P457694,P474075,0.491
P457694,P456193,0.4015
P457694,P470247,0.4333
P457694,P504698,0.4519
P457694,P480192,0.4143
P457694,P410400,0.4587
P457694,P461535,0.4246
P457694,P456434,0.4546
P457694,P457279,0.4486
P457694,P475194,0.4034
P457694,P475197,0.4227
P457694,P475196,0.4085
P457694,P477830,0.4322
P447504,P482074,0.411
P447504,P450244,0.4163
P447504,P442759,0.4014
P404168,P455332,0.407
P433469,P469510,0.4153
P420638,P442741,0.4017
P456990,P504443,0.6341
P440949,P442548,0.9264
P440949,P420224,0.411
P440949,P474822,0.4229
P440949,P501169,0.4351
P440949,P480300,0.4611
P440949,P481085,0.5169
P440949,P474333,0.5301
P440949,P505376,0.6392
P440949,P439061,0.4917
P440949,P454800,0.46
P440949,P3550,0.4444
P440949,P474078,0.4159
P440949,P479705,0.4584
P440949,P500502,0.4642
P440949,P451745,0.4323
P440949,P443838,0.4865
P442546,P447210,0.4034
P442546,P441645,0.4015
P442546,P421275,0.4237
P442546,P443834,0.445
P442548,P474822,0.4019
P442548,P480300,0.4382
P442548,P481085,0.4664
P442548,P474333,0.479
P442548,P505376,0.5776
P442548,P439061,0.4673
P442548,P454800,0.5197
P442548,P3550,0.4056
P442548,P474078,0.4815
P442548,P479705,0.4156
P442548,P500502,0.4411
P442548,P443838,0.4623
P442542,P479705,0.4721
P442545,P384539,0.4102
