product_id_1,product_id_2,similarity
P114902,P501550,0.5508
P114902,P3550,0.4872
P114902,P474078,0.4648
P114902,P411388,0.4031
P12045,P503655,1.0
P12045,P472451,0.4657
P12045,P420224,0.4447
P12045,P471541,0.4067
P122651,P439098,0.538
P122651,P409920,0.4611
P122661,P398717,0.487
P122661,P422000,0.4008
P122727,P500771,0.574
P122727,P377576,0.5227
P122727,P448563,0.5171
P122727,P379995,0.4857
P122727,P448565,0.485
P122774,P374841,0.7526
P122774,P501164,0.5976
P122774,P474942,0.5526
P122774,P463613,0.5116
P122774,P174502,0.4326
P122782,P444964,0.6063
P122876,P439098,0.6672
P122876,P122651,0.6423
P122876,P409920,0.4268
P122881,P439098,0.9889
P122881,P122876,0.6856
P122881,P439099,0.6344
P122881,P122651,0.5544
P122882,P439099,0.9417
P122882,P122881,0.6775
P122882,P439098,0.6623
P122882,P474941,0.4347
P122882,P122651,0.4333
P122900,P439643,0.6531
P122900,P439648,0.6531
P122900,P385631,0.6015
P122900,P422648,0.576
P122900,P455622,0.4778
P12295,P475183,0.4555
P12336,P500012,0.6538
P12336,P504272,0.6339
P12336,P457005,0.5982
P12336,P417936,0.5926
P12336,P436353,0.5816
P12573,P474057,0.7244
P12573,P458573,0.639
P126301,P453816,0.9485
P126301,P471011,0.707
P126301,P503747,0.621
P126301,P406529,0.5047
P139000,P474941,0.6064
P139000,P385632,0.5063
P139000,P469451,0.4872
P139000,P393501,0.4871
P139000,P385631,0.4493
P173619,P173622,0.6056
P173622,P423166,0.4186
P173652,P202935,0.4397
P173652,P423163,0.431
P174502,P122727,0.7476
P174502,P500771,0.5777
P174502,P374841,0.5468
P174502,P448565,0.5201
P174502,P448563,0.5158
P188307,P480289,0.4745
P188307,P481062,0.4694
P188309,P480289,1.0
P188309,P481062,0.6319
P188309,P188307,0.4745
P196524,P254720,0.4249
P196524,P4016,0.4
P196542,P282920,0.427
P201439,P422648,0.4045
P202935,P423169,0.5284
P202935,P423163,0.4045
P203616,P455227,0.7898
P203616,P473172,0.4962
P203616,P428095,0.4786
P203616,P465368,0.4786
P203616,P501178,0.4703
P205614,P202935,0.5487
P205614,P423169,0.5389
P205614,P423165,0.5379
P205614,P443375,0.5237
P205614,P423163,0.4572
P214002,P502047,0.594
P214002,P503345,0.594
P214002,P437477,0.5457
P214002,P474371,0.5319
P214002,P415620,0.4593
P217513,P432256,0.9635
P217513,P384778,0.4238
P217513,P391799,0.4095
P217932,P217931,0.7439
P218700,P447596,0.615
P218700,P384780,0.4997
P218700,P283501,0.4899
P232903,P440498,0.5575
P232903,P500124,0.4327
P232903,P469502,0.4197
P232903,P467655,0.4148
P232906,P500124,0.5265
P232910,P440305,0.4707
P232915,P500155,0.8123
